RetainedRef	DuplicateRef
lcl|NC_007605.1_cds_YP_401635.1_5	lcl|NC_007605.1_cds_YP_401637.1_7
lcl|NC_007605.1_cds_YP_401635.1_5	lcl|NC_007605.1_cds_YP_401638.1_8
lcl|NC_007605.1_cds_YP_401635.1_5	lcl|NC_007605.1_cds_YP_401639.1_9
lcl|NC_007605.1_cds_YP_401635.1_5	lcl|NC_007605.1_cds_YP_401640.1_10
lcl|NC_007605.1_cds_YP_401635.1_5	lcl|NC_007605.1_cds_YP_401641.1_11
lcl|NC_007605.1_cds_YP_401635.1_5	lcl|NC_007605.1_cds_YP_401642.1_12
lcl|NC_007605.1_cds_YP_401635.1_5	lcl|NC_007605.1_cds_YP_401643.1_13
